# Final state angular momentum:   1
# Broadening parameter (in eV):    0.350
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00021474
   -9.94994995    0.00021643
   -9.89989990    0.00021814
   -9.84984985    0.00021987
   -9.79979980    0.00022163
   -9.74974975    0.00022340
   -9.69969970    0.00022520
   -9.64964965    0.00022702
   -9.59959960    0.00022886
   -9.54954955    0.00023073
   -9.49949950    0.00023262
   -9.44944945    0.00023453
   -9.39939940    0.00023647
   -9.34934935    0.00023843
   -9.29929930    0.00024042
   -9.24924925    0.00024243
   -9.19919920    0.00024447
   -9.14914915    0.00024653
   -9.09909910    0.00024862
   -9.04904905    0.00025074
   -8.99899900    0.00025289
   -8.94894895    0.00025506
   -8.89889890    0.00025727
   -8.84884885    0.00025950
   -8.79879880    0.00026176
   -8.74874875    0.00026405
   -8.69869870    0.00026638
   -8.64864865    0.00026874
   -8.59859860    0.00027112
   -8.54854855    0.00027354
   -8.49849850    0.00027600
   -8.44844845    0.00027849
   -8.39839840    0.00028101
   -8.34834835    0.00028357
   -8.29829830    0.00028616
   -8.24824825    0.00028880
   -8.19819820    0.00029146
   -8.14814815    0.00029417
   -8.09809810    0.00029692
   -8.04804805    0.00029970
   -7.99799800    0.00030253
   -7.94794795    0.00030540
   -7.89789790    0.00030831
   -7.84784785    0.00031126
   -7.79779780    0.00031425
   -7.74774775    0.00031730
   -7.69769770    0.00032038
   -7.64764765    0.00032351
   -7.59759760    0.00032670
   -7.54754755    0.00032992
   -7.49749750    0.00033320
   -7.44744745    0.00033653
   -7.39739740    0.00033991
   -7.34734735    0.00034335
   -7.29729730    0.00034683
   -7.24724725    0.00035038
   -7.19719720    0.00035397
   -7.14714715    0.00035763
   -7.09709710    0.00036135
   -7.04704705    0.00036512
   -6.99699700    0.00036896
   -6.94694695    0.00037286
   -6.89689690    0.00037682
   -6.84684685    0.00038085
   -6.79679680    0.00038494
   -6.74674675    0.00038911
   -6.69669670    0.00039334
   -6.64664665    0.00039765
   -6.59659660    0.00040203
   -6.54654655    0.00040648
   -6.49649650    0.00041101
   -6.44644645    0.00041562
   -6.39639640    0.00042031
   -6.34634635    0.00042509
   -6.29629630    0.00042995
   -6.24624625    0.00043489
   -6.19619620    0.00043992
   -6.14614615    0.00044505
   -6.09609610    0.00045027
   -6.04604605    0.00045558
   -5.99599600    0.00046099
   -5.94594595    0.00046651
   -5.89589590    0.00047212
   -5.84584585    0.00047784
   -5.79579580    0.00048367
   -5.74574575    0.00048961
   -5.69569570    0.00049567
   -5.64564565    0.00050184
   -5.59559560    0.00050813
   -5.54554555    0.00051455
   -5.49549550    0.00052109
